iter	Passed	Remaining
576	97219	745238
577	97387	745064
578	97557	744906
579	97722	744709
580	97901	744626
581	98062	744395
582	98221	744161
583	98357	743747
584	98500	743387
585	98644	743033
586	98799	742760
587	98970	742617
588	99142	742477
589	99309	742296
590	99487	742201
591	99662	742084
592	99839	741974
593	100010	741827
594	100189	741737
595	100350	741514
596	100516	741326
597	100682	741146
598	100851	740983
599	101013	740765
600	101183	740612
601	101354	740458
602	101528	740333
603	101698	740178
604	101869	740027
605	102034	739832
606	102204	739675
607	102371	739498
608	102549	739400
609	102725	739283
610	102899	739157
611	103077	739055
612	103264	739024
613	103444	738935
614	103631	738898
615	103793	738687
616	103962	738519
617	104140	738421
618	104310	738264
619	104472	738046
620	104662	738031
621	104861	738075
622	105029	737902
623	105196	737725
624	105372	737608
625	105543	737458
626	105701	737214
627	105872	737058
628	106051	736963
629	106216	736771
630	106395	736676
631	106565	736519
632	106734	736351
633	106903	736186
634	107068	735991
635	107239	735839
636	107411	735693
637	107573	735476
638	107746	735341
639	107916	735179
640	108087	735029
641	108257	734870
642	108429	734721
643	108607	734621
644	108780	734478
645	108954	734345
646	109112	734109
647	109287	733979
648	109454	733802
649	109622	733628
650	109791	733458
651	109945	733196
652	110112	733012
653	110276	732815
654	110439	732608
655	110595	732358
656	110752	732114
657	110915	731907
658	111089	731773
659	111265	731654
660	111449	731587
661	111627	731482
662	111805	731375
663	111988	731297
664	112154	731113
665	112337	731036
666	112526	730998
667	112719	730989
668	112889	730829
669	113070	730738
670	113255	730676
671	113428	730534
672	113598	730371
673	113765	730190
674	113945	730094
675	114099	729834
676	114267	729655
677	114433	729468
678	114602	729306
679	114772	729144
680	114940	728966
681	115107	728787
682	115282	728657
683	115453	728501
684	115622	728340
685	115791	728169
686	115963	728021
687	116137	727887
688	116313	727762
689	116482	727590
690	116663	727498
691	116851	727450
692	117015	727252
693	117191	727129
694	117375	727049
695	117545	726888
696	117718	726746
697	117884	726562
698	118051	726380
699	118220	726209
700	118401	726119
701	118560	725887
702	118731	725733
703	118903	725581
704	119058	725328
705	119225	725147
706	119394	724977
707	119580	724917
708	119744	724713
709	119913	724547
710	120066	724284
711	120239	724140
712	120394	723885
713	120569	723756
714	120737	723580
715	120914	723463
716	121075	723245
717	121257	723155
718	121431	723015
719	121602	722861
720	121758	722615
721	121930	722463
722	122086	722221
723	122260	722079
724	122433	721934
725	122604	721776
726	122777	721636
727	122949	721486
728	123116	721305
729	123280	721105
730	123450	720942
731	123613	720742
732	123789	720613
733	123968	720501
